COD_BARRAS,DESCRICAO,ESFERIC,CILIND,ADICAO,OLHO
5658893143,Lente Vis Simples 1.50 c/A.R.,"-2,50","-1,25","0,00",
5658893226,Lente Vis Simples 1.50 c/A.R.,"-2,75","-1,25","0,00",
5658893309,Lente Vis Simples 1.50 c/A.R.,"-3,00","-1,25","0,00",
5658893382,Lente Vis Simples 1.50 c/A.R.,"-3,25","-1,25","0,00",
5658893465,Lente Vis Simples 1.50 c/A.R.,"-3,50","-1,25","0,00",
5658893549,Lente Vis Simples 1.50 c/A.R.,"-3,75","-1,25","0,00",
5658893622,Lente Vis Simples 1.50 c/A.R.,"-4,00","-1,25","0,00",
5658891071,Lente Vis Simples 1.50 c/A.R.,"0,00","-1,50","0,00",
5658892434,Lente Vis Simples 1.50 c/A.R.,"-0,25","-1,50","0,00",
5658892517,Lente Vis Simples 1.50 c/A.R.,"-0,50","-1,50","0,00",
5658892590,Lente Vis Simples 1.50 c/A.R.,"-0,75","-1,50","0,00",
5658892673,Lente Vis Simples 1.50 c/A.R.,"-1,00","-1,50","0,00",
5658892756,Lente Vis Simples 1.50 c/A.R.,"-1,25","-1,50","0,00",
5658892830,Lente Vis Simples 1.50 c/A.R.,"-1,50","-1,50","0,00",
5658892913,Lente Vis Simples 1.50 c/A.R.,"-1,75","-1,50","0,00",
5658892996,Lente Vis Simples 1.50 c/A.R.,"-2,00","-1,50","0,00",
5658893077,Lente Vis Simples 1.50 c/A.R.,"-2,25","-1,50","0,00",
5658893150,Lente Vis Simples 1.50 c/A.R.,"-2,50","-1,50","0,00",
5658893234,Lente Vis Simples 1.50 c/A.R.,"-2,75","-1,50","0,00",
5658893317,Lente Vis Simples 1.50 c/A.R.,"-3,00","-1,50","0,00",
5658893390,Lente Vis Simples 1.50 c/A.R.,"-3,25","-1,50","0,00",
5658893473,Lente Vis Simples 1.50 c/A.R.,"-3,50","-1,50","0,00",
5658893556,Lente Vis Simples 1.50 c/A.R.,"-3,75","-1,50","0,00",
5658893630,Lente Vis Simples 1.50 c/A.R.,"-4,00","-1,50","0,00",
5658891089,Lente Vis Simples 1.50 c/A.R.,"0,00","-1,75","0,00",
5658892442,Lente Vis Simples 1.50 c/A.R.,"-0,25","-1,75","0,00",
5658892525,Lente Vis Simples 1.50 c/A.R.,"-0,50","-1,75","0,00",
5658892608,Lente Vis Simples 1.50 c/A.R.,"-0,75","-1,75","0,00",
5658892681,Lente Vis Simples 1.50 c/A.R.,"-1,00","-1,75","0,00",
5658892764,Lente Vis Simples 1.50 c/A.R.,"-1,25","-1,75","0,00",
5658892848,Lente Vis Simples 1.50 c/A.R.,"-1,50","-1,75","0,00",
5658892921,Lente Vis Simples 1.50 c/A.R.,"-1,75","-1,75","0,00",
5658893002,Lente Vis Simples 1.50 c/A.R.,"-2,00","-1,75","0,00",
5658893085,Lente Vis Simples 1.50 c/A.R.,"-2,25","-1,75","0,00",
5658893168,Lente Vis Simples 1.50 c/A.R.,"-2,50","-1,75","0,00",
5658893242,Lente Vis Simples 1.50 c/A.R.,"-2,75","-1,75","0,00",
5658893325,Lente Vis Simples 1.50 c/A.R.,"-3,00","-1,75","0,00",
5658893408,Lente Vis Simples 1.50 c/A.R.,"-3,25","-1,75","0,00",
5658893481,Lente Vis Simples 1.50 c/A.R.,"-3,50","-1,75","0,00",
5658893564,Lente Vis Simples 1.50 c/A.R.,"-3,75","-1,75","0,00",
5658893648,Lente Vis Simples 1.50 c/A.R.,"-4,00","-1,75","0,00",
5658891097,Lente Vis Simples 1.50 c/A.R.,"0,00","-2,00","0,00",
5658892459,Lente Vis Simples 1.50 c/A.R.,"-0,25","-2,00","0,00",
5658892533,Lente Vis Simples 1.50 c/A.R.,"-0,50","-2,00","0,00",
5658892616,Lente Vis Simples 1.50 c/A.R.,"-0,75","-2,00","0,00",
5658892699,Lente Vis Simples 1.50 c/A.R.,"-1,00","-2,00","0,00",
5658892772,Lente Vis Simples 1.50 c/A.R.,"-1,25","-2,00","0,00",
5658892855,Lente Vis Simples 1.50 c/A.R.,"-1,50","-2,00","0,00",
5658892939,Lente Vis Simples 1.50 c/A.R.,"-1,75","-2,00","0,00",
5658893010,Lente Vis Simples 1.50 c/A.R.,"-2,00","-2,00","0,00",
5658893093,Lente Vis Simples 1.50 c/A.R.,"-2,25","-2,00","0,00",
5658893176,Lente Vis Simples 1.50 c/A.R.,"-2,50","-2,00","0,00",
5658893259,Lente Vis Simples 1.50 c/A.R.,"-2,75","-2,00","0,00",
5658893333,Lente Vis Simples 1.50 c/A.R.,"-3,00","-2,00","0,00",
5658893416,Lente Vis Simples 1.50 c/A.R.,"-3,25","-2,00","0,00",
5658893499,Lente Vis Simples 1.50 c/A.R.,"-3,50","-2,00","0,00",
5658893572,Lente Vis Simples 1.50 c/A.R.,"-3,75","-2,00","0,00",
5658893655,Lente Vis Simples 1.50 c/A.R.,"-4,00","-2,00","0,00",
5258967073,Lente Vis Simples 1.50 c/A.R.,"0,00","-2,25","0,00",
5258968436,Lente Vis Simples 1.50 c/A.R.,"-0,25","-2,25","0,00",
5258968444,Lente Vis Simples 1.50 c/A.R.,"-0,50","-2,25","0,00",
5258968451,Lente Vis Simples 1.50 c/A.R.,"-0,75","-2,25","0,00",
5258968469,Lente Vis Simples 1.50 c/A.R.,"-1,00","-2,25","0,00",
5258968477,Lente Vis Simples 1.50 c/A.R.,"-1,25","-2,25","0,00",
5258968485,Lente Vis Simples 1.50 c/A.R.,"-1,50","-2,25","0,00",
5258968493,Lente Vis Simples 1.50 c/A.R.,"-1,75","-2,25","0,00",
5258968501,Lente Vis Simples 1.50 c/A.R.,"-2,00","-2,25","0,00",
5258968519,Lente Vis Simples 1.50 c/A.R.,"-2,25","-2,25","0,00",
5258968527,Lente Vis Simples 1.50 c/A.R.,"-2,50","-2,25","0,00",
5258968535,Lente Vis Simples 1.50 c/A.R.,"-2,75","-2,25","0,00",
5258968543,Lente Vis Simples 1.50 c/A.R.,"-3,00","-2,25","0,00",
5258968550,Lente Vis Simples 1.50 c/A.R.,"-3,25","-2,25","0,00",
5258968568,Lente Vis Simples 1.50 c/A.R.,"-3,50","-2,25","0,00",
5258968576,Lente Vis Simples 1.50 c/A.R.,"-3,75","-2,25","0,00",
5258968584,Lente Vis Simples 1.50 c/A.R.,"-4,00","-2,25","0,00",
5258967081,Lente Vis Simples 1.50 c/A.R.,"0,00","-2,50","0,00",
5258968592,Lente Vis Simples 1.50 c/A.R.,"-0,25","-2,50","0,00",
5258968600,Lente Vis Simples 1.50 c/A.R.,"-0,50","-2,50","0,00",
5258968618,Lente Vis Simples 1.50 c/A.R.,"-0,75","-2,50","0,00",
5258968626,Lente Vis Simples 1.50 c/A.R.,"-1,00","-2,50","0,00",
5258968634,Lente Vis Simples 1.50 c/A.R.,"-1,25","-2,50","0,00",
5258968642,Lente Vis Simples 1.50 c/A.R.,"-1,50","-2,50","0,00",
